"exam_id"	"exam_date"	"exam_year"	"exam_type"
"GLBAEP103080025"	"1758-01-10"	1758	"settlement"
"GLBAEP103080026"	"1758-01-11"	1758	"settlement"
"GLBAEP103080028"	"1758-01-12"	1758	"settlement"
"GLBAEP103080030"	"1758-01-25"	1758	"settlement"
"GLBAEP103080031"	"1758-02-04"	1758	"settlement"
"GLBAEP103080032"	"1758-02-22"	1758	"settlement"
"GLBAEP103080033"	"1758-04-04"	1758	"settlement"
"GLBAEP103080039"	"1758-05-00"	1758	"settlement"
"GLBAEP103080038"	"1758-05-08"	1758	"settlement"
"GLBAEP103080036"	"1758-06-21"	1758	"settlement"
"GLBAEP103080037"	"1758-07-07"	1758	"settlement"
"GLBAEP103080041"	"1758-08-19"	1758	"bastardy"
"GLBAEP103080027"	"1758-08-30"	1758	"settlement"
"GLBAEP103080040"	"1758-12-12"	1758	"settlement"
"GLBAEP103080043"	"1759-01-27"	1759	"settlement"
"GLBAEP103080042"	"1759-01-30"	1759	"settlement"
"GLBAEP103080044"	"1759-02-01"	1759	"settlement"
"GLBAEP103080045"	"1759-02-13"	1759	"settlement"
"GLBAEP103080046"	"1759-04-09"	1759	"settlement"
"GLBAEP103080047"	"1759-07-11"	1759	"settlement"
"GLBAEP103080049"	"1759-08-00"	1759	"settlement"
"GLBAEP103080048"	"1759-08-15"	1759	"bastardy"
"GLBAEP103080050"	"1759-08-29"	1759	"settlement"
"GLBAEP103080051"	"1759-11-19"	1759	"settlement"
"GLBAEP103080052"	"1759-11-30"	1759	"settlement"
"GLBAEP103080053"	"1759-12-14"	1759	"settlement"
"GLBAEP103080068"	"1760-03-10"	1760	"settlement"
"GLBAEP103080055"	"1760-04-10"	1760	"settlement"
"GLBAEP103080056"	"1760-05-07"	1760	"settlement"
"GLBAEP103080057"	"1760-05-17"	1760	"bastardy"
"GLBAEP103080058"	"1760-06-06"	1760	"settlement"
"GLBAEP103080059"	"1760-12-05"	1760	"settlement"
"GLBAEP103080060"	"1760-12-09"	1760	"settlement"
"GLBAEP103080061"	"1760-12-18"	1760	"bastardy"
"GLBAEP103080062"	"1760-12-23"	1760	"bastardy"
"GLBAEP103080064"	"1761-01-00"	1761	"settlement"
"GLBAEP103080063"	"1761-01-10"	1761	"settlement"
"GLBAEP103080065"	"1761-01-30"	1761	"settlement"
"GLBAEP103080066"	"1761-02-19"	1761	"settlement"
"GLBAEP103080067"	"1761-02-21"	1761	"settlement"
"GLBAEP103090005"	"1765-07-02"	1765	"settlement"
"GLBAEP103090006"	"1765-07-23"	1765	"settlement"
"GLBAEP103090007"	"1765-08-12"	1765	"settlement"
