"order_id"	"doc_date"	"doc_year"	"doc_month"	"has_exam"	"has_exam_b"	"multi_orders"	"vagrant"	"name_count"	"gender"	"has_child"	"to_area"	"link_exam_id"	"link_rv_chain"
"WCCDRV36900_0147"	"1753-05-25"	1753	5	"yes"	1	0	1	1	"f"	0	"Suffolk"	"WCCDEP358110249"	""
"WCCDRV36900_0148"	"1753-05-26"	1753	5	"yes"	1	1	1	1	"f"	0	"Worcestershire"	"WCCDEP358110250"	"WCCDRV36900_0148 | WCCDRV36900_0156"
"WCCDRV36900_0149"	"1753-05-28"	1753	5	"yes"	1	0	0	1	"f"	0	"Yorkshire"	"WCCDEP358110251"	""
"WCCDRV36900_0151"	"1753-06-08"	1753	6	"yes"	1	0	0	1	"m"	0	"London"	"WCCDEP358110256"	""
"WCCDRV36900_0152"	"1753-06-12"	1753	6	"yes"	1	0	0	4	"fm"	1	"London"	"WCCDEP358110260"	""
"WCCDRV36900_0153"	"1753-06-14"	1753	6	"yes"	1	0	1	1	"m"	0	"Wales"	"WCCDEP358110258"	""
"WCCDRV36900_0154"	"1753-06-19"	1753	6	"yes"	1	0	1	1	"f"	0	"Cheshire"	"WCCDEP358110264"	""
"WCCDRV36900_0155"	"1753-06-19"	1753	6	"yes"	1	0	1	1	"m"	0	"Cheshire"	"WCCDEP358110265"	""
"WCCDRV36900_0156"	"1753-07-23"	1753	7	"yes"	1	0	0	2	"f"	1	"Worcestershire"	"WCCDEP358110266"	""
"WCCDRV36900_0157"	"1753-06-23"	1753	6	"yes"	1	0	1	1	"f"	0	"Ireland"	"WCCDEP358110267"	""
"WCCDRV36900_0158"	"1753-06-27"	1753	6	"yes"	1	0	1	1	"f"	0	"Yorkshire"	"WCCDEP358110268"	""
"WCCDRV36900_0159"	"1753-07-03"	1753	7	"yes"	1	0	0	1	"f"	0	"Hertfordshire"	"WCCDEP358110270"	""
"WCCDRV36900_0160"	"1753-07-06"	1753	7	"yes"	1	0	1	1	"m"	0	"Gloucestershire"	"WCCDEP358110271"	""
"WCCDRV36900_0161"	"1753-07-11"	1753	7	"yes"	1	0	1	1	"m"	0	"Wales"	"WCCDEP358110273"	""
"WCCDRV36900_0162"	"1753-07-14"	1753	7	"yes"	1	0	1	1	"m"	0	"Yorkshire"	"WCCDEP358110274"	""
"WCCDRV36900_0163"	"1753-07-18"	1753	7	"yes"	1	0	0	1	"f"	0	"London"	"WCCDEP358110276"	""
"WCCDRV36900_0164"	"1753-07-27"	1753	7	"yes"	1	1	0	3	"fm"	1	"London"	"WCCDEP358110278"	"WCCDRV36900_0164 | WCCDRV36900_0388 | WCCDRV36901_0502"
"WCCDRV36900_0165"	"1753-08-03"	1753	8	"yes"	1	0	1	1	"f"	0	"Somerset"	"WCCDEP358110282"	""
"WCCDRV36900_0166"	"1753-08-07"	1753	8	"yes"	1	0	1	1	"f"	0	"Ireland"	"WCCDEP358110285"	""
"WCCDRV36900_0167"	"1753-08-11"	1753	8	"yes"	1	0	0	1	"m"	0	"London"	"WCCDEP358110289"	""
"WCCDRV36900_0168"	"1753-08-11"	1753	8	"yes"	1	0	0	1	"f"	0	"Kent"	"WCCDEP358110287"	""
"WCCDRV36900_0169"	"1753-08-13"	1753	8	"yes"	1	0	1	1	"f"	0	"Hampshire"	"WCCDEP358110290"	""
"WCCDRV36900_0170"	"1753-08-14"	1753	8	"yes"	1	0	0	1	"f"	0	"London"	"WCCDEP358110291"	""
"WCCDRV36900_0171"	"1753-08-16"	1753	8	"yes"	1	0	1	1	"f"	0	"London"	"WCCDEP358110294"	""
"WCCDRV36900_0172"	"1753-08-16"	1753	8	"yes"	1	0	1	1	"f"	0	"London"	"WCCDEP358110292"	""
"WCCDRV36900_0173"	"1753-08-17"	1753	8	"yes"	1	0	1	1	"f"	0	"Oxfordshire"	"WCCDEP358110297"	""
"WCCDRV36900_0174"	"1753-08-16"	1753	8	"yes"	1	0	1	1	"f"	0	"London"	"WCCDEP358110293"	""
"WCCDRV36900_0175"	"1753-08-17"	1753	8	"yes"	1	0	1	1	"f"	0	"Hampshire"	"WCCDEP358110296"	""
"WCCDRV36900_0176"	"1753-08-17"	1753	8	"yes"	1	0	1	1	"f"	0	"London"	"WCCDEP358110295"	""
"WCCDRV36900_0177"	"1753-08-18"	1753	8	"yes"	1	0	1	1	"f"	0	"London"	"WCCDEP358110298"	""
"WCCDRV36900_0178"	"1753-08-21"	1753	8	"yes"	1	0	0	3	"fm"	1	"London"	"WCCDEP358110299"	""
"WCCDRV36900_0179"	"1753-08-23"	1753	8	"yes"	1	0	1	1	"f"	0	"Yorkshire"	"WCCDEP358110302"	""
"WCCDRV36900_0180"	"1753-08-24"	1753	8	"yes"	1	0	1	1	"f"	0	"Surrey"	"WCCDEP358110303"	""
"WCCDRV36900_0181"	"1753-08-25"	1753	8	"yes"	1	0	0	1	"f"	0	"London"	"WCCDEP358110305"	""
"WCCDRV36900_0182"	"1753-09-12"	1753	9	"yes"	1	0	0	1	"f"	0	"London"	"WCCDEP358110308"	""
"WCCDRV36900_0183"	"1754-09-14"	1754	9	"yes"	1	0	0	1	"f"	0	"London"	"WCCDEP358110312"	""
"WCCDRV36900_0184"	"1753-09-22"	1753	9	"yes"	1	0	1	1	"m"	0	"Gloucestershire"	"WCCDEP358110315"	""
"WCCDRV36900_0185"	"1753-09-29"	1753	9	"yes"	1	0	0	3	"fm"	1	"London"	"WCCDEP358110319"	""
"WCCDRV36900_0186"	"1753-10-05"	1753	10	"yes"	1	0	0	1	"f"	0	"London"	"WCCDEP358110323"	""
"WCCDRV36900_0187"	"1753-10-05"	1753	10	"yes"	1	0	1	1	"m"	0	"Somerset"	"WCCDEP358110324"	""
"WCCDRV36900_0188"	"1753-10-06"	1753	10	"yes"	1	0	1	1	"f"	0	"Ireland"	"WCCDEP358110326"	""
"WCCDRV36900_0189"	"1753-10-12"	1753	10	"yes"	1	0	0	1	"f"	0	"London"	"WCCDEP358110329"	""
"WCCDRV36900_0190"	"1753-10-19"	1753	10	"yes"	1	0	1	1	"m"	0	"Ireland"	"WCCDEP358110332"	""
"WCCDRV36900_0191"	"1753-10-20"	1753	10	"yes"	1	0	0	1	"f"	0	"London"	"WCCDEP358110333"	""
"WCCDRV36900_0193"	"1753-11-03"	1753	11	"yes"	1	0	0	1	"f"	0	"London"	"WCCDEP358110340"	""
"WCCDRV36900_0195"	"1753-11-08"	1753	11	"yes"	1	0	1	1	"f"	0	"Essex"	"WCCDEP358110343"	""
"WCCDRV36900_0196"	"1753-11-12"	1753	11	"yes"	1	0	1	1	"f"	0	"Kent"	"WCCDEP358110345"	""
"WCCDRV36900_0197"	"1753-11-13"	1753	11	"yes"	1	0	1	1	"f"	0	"Oxfordshire"	"WCCDEP358110346"	""
"WCCDRV36900_0198"	"1753-11-15"	1753	11	"yes"	1	0	0	1	"m"	0	"London"	"WCCDEP358110348"	""
"WCCDRV36900_0199"	"1753-11-17"	1753	11	"yes"	1	0	1	1	"f"	0	"Yorkshire"	"WCCDEP358110349"	""
"WCCDRV36900_0200"	"1753-11-23"	1753	11	"yes"	1	0	0	2	"fm"	0	"London"	"WCCDEP358110352"	""
"WCCDRV36900_0201"	"1754-11-26"	1754	11	"yes"	1	0	1	1	"f"	0	"Kent"	"WCCDEP358110354"	""
"WCCDRV36900_0202"	"1753-11-27"	1753	11	"yes"	1	0	1	1	"f"	0	"London"	"WCCDEP358110358"	""
"WCCDRV36900_0203"	"1753-11-28"	1753	11	"yes"	1	0	1	1	"f"	0	"London"	"WCCDEP358110355"	""
"WCCDRV36900_0204"	"1753-11-28"	1753	11	"yes"	1	0	1	1	"m"	0	"London"	"WCCDEP358110359"	""
"WCCDRV36900_0205"	"1753-11-29"	1753	11	"yes"	1	0	0	2	"fm"	0	"London"	"WCCDEP358110360"	""
"WCCDRV36900_0206"	"1753-12-01"	1753	12	"yes"	1	0	1	1	"f"	0	"London"	"WCCDEP358110363"	""
"WCCDRV36900_0207"	"1753-12-01"	1753	12	"yes"	1	0	1	1	"f"	0	"Oxfordshire"	"WCCDEP358110364"	""
"WCCDRV36900_0208"	"1753-12-13"	1753	12	"yes"	1	0	1	1	"m"	0	"Wales"	"WCCDEP358110368"	""
"WCCDRV36900_0209"	"1753-12-05"	1753	12	"yes"	1	0	0	1	"f"	0	"London"	"WCCDEP358110356"	""
"WCCDRV36900_0210"	"1753-12-13"	1753	12	"yes"	1	0	0	2	"fm"	0	"London"	"WCCDEP358110369"	""
"WCCDRV36900_0211"	"1753-12-15"	1753	12	"yes"	1	0	1	1	"f"	0	"London"	"WCCDEP358110371"	""
"WCCDRV36900_0212"	"1753-12-21"	1753	12	"yes"	1	0	1	1	"f"	0	"Staffordshire"	"WCCDEP358110376"	""
"WCCDRV36900_0214"	"1754-01-07"	1754	1	"yes"	1	0	0	1	"f"	0	"London"	"WCCDEP358120036"	""
"WCCDRV36900_0215"	"1754-01-12"	1754	1	"yes"	1	0	0	1	"m"	0	"London"	"WCCDEP358120039"	""
"WCCDRV36900_0216"	"1754-01-19"	1754	1	"yes"	1	0	0	1	"f"	0	"London"	"WCCDEP358120044"	""
"WCCDRV36900_0217"	"1754-01-22"	1754	1	"yes"	1	0	1	1	"m"	0	"Ireland"	"WCCDEP358120045"	""
"WCCDRV36900_0218"	"1754-01-22"	1754	1	"yes"	1	0	0	1	"m"	0	"London"	"WCCDEP358120046"	""
